tenure,monthly_charges,total_charges,contract_type,tech_support,internet_service,payment_method,num_support_calls,senior_citizen,paperless_billing,churn
66,100.67,6142.32,Two year,No,DSL,Bank transfer,1,0,Yes,0
4,105.8,408.9,Month-to-month,Yes,DSL,Bank transfer,0,0,Yes,0
6,119.76,653.53,Month-to-month,No,DSL,Credit card,1,1,Yes,0
51,44.15,2031.71,Month-to-month,Yes,No,Mailed check,0,1,Yes,1
62,24.04,1423.21,Two year,No,No,Bank transfer,4,0,Yes,0
57,61.12,3213.63,Month-to-month,Yes,Fiber optic,Electronic check,3,0,Yes,1
66,33.01,1977.99,Month-to-month,No,No,Bank transfer,0,0,Yes,1
8,22.24,173.11,Two year,No,DSL,Mailed check,4,0,No,0
26,56.04,1383.89,Month-to-month,Yes,No,Credit card,1,0,Yes,0
51,98.37,4914.66,Month-to-month,No,DSL,Electronic check,1,0,No,1
45,76.62,3332.03,Month-to-month,Yes,DSL,Credit card,3,0,No,0
44,51.28,2195.36,Month-to-month,No,DSL,Bank transfer,2,0,Yes,1
5,85.43,397.56,Two year,Yes,Fiber optic,Electronic check,1,0,Yes,0
70,43.2,2801.21,One year,No,Fiber optic,Electronic check,0,1,Yes,1
26,21.44,535.19,Month-to-month,No,Fiber optic,Bank transfer,2,0,Yes,1
68,96.44,6033.34,Two year,No,No,Bank transfer,4,0,No,0
19,82.37,1536.14,Month-to-month,No,Fiber optic,Mailed check,0,0,Yes,1
20,96.23,1832.78,Month-to-month,No,DSL,Bank transfer,1,0,No,1
12,23.89,264.52,Month-to-month,No,Fiber optic,Bank transfer,1,0,No,1
47,103.71,4691.66,Month-to-month,No,Fiber optic,Bank transfer,2,0,Yes,0
1,81.95,81.5,Month-to-month,No,No,Electronic check,4,0,Yes,0
14,76.34,970.66,Two year,Yes,Fiber optic,Mailed check,2,0,Yes,0
64,82.46,4807.4,One year,No,Fiber optic,Electronic check,1,0,No,0
38,106.44,3981.56,Month-to-month,No,DSL,Bank transfer,1,0,No,1
37,78.69,2652.29,One year,No,Fiber optic,Mailed check,0,1,Yes,0
11,78.1,776.57,One year,No,No,Bank transfer,2,0,Yes,1
3,119.07,333.92,Two year,Yes,DSL,Electronic check,2,0,Yes,0
33,95.67,2988.74,Two year,No,No,Electronic check,1,0,No,0
6,64.23,368.79,Month-to-month,Yes,Fiber optic,Bank transfer,0,0,No,0
50,90.74,4313.46,One year,Yes,DSL,Mailed check,0,0,Yes,0
10,58.92,584.08,One year,Yes,No,Electronic check,1,0,Yes,0
5,42.89,209.49,One year,No,Fiber optic,Bank transfer,0,0,Yes,0
23,79.69,1829.9,Month-to-month,Yes,DSL,Credit card,1,0,Yes,0
10,112.82,1069.13,Month-to-month,Yes,DSL,Bank transfer,3,0,No,1
44,112.91,4513.13,Month-to-month,No,DSL,Bank transfer,1,1,Yes,0
2,54.19,107.9,Month-to-month,Yes,No,Mailed check,3,0,No,1
13,72.77,851.8,Month-to-month,Yes,Fiber optic,Bank transfer,4,0,Yes,1
40,41.16,1609.54,One year,Yes,No,Credit card,0,0,Yes,0
2,119.56,215.96,Month-to-month,Yes,DSL,Bank transfer,1,0,Yes,1
65,118.11,7493.83,One year,No,DSL,Credit card,3,0,No,1
63,84.95,5318.64,Month-to-month,Yes,DSL,Electronic check,0,1,No,0
17,100.44,1603.2,Two year,No,Fiber optic,Bank transfer,0,0,Yes,1
9,91.51,761.08,Month-to-month,No,No,Mailed check,2,0,Yes,0
15,79.32,1097.74,Month-to-month,Yes,Fiber optic,Bank transfer,1,0,Yes,1
24,25.33,577.02,One year,Yes,DSL,Credit card,0,1,Yes,0
38,65.48,2281.94,Two year,No,No,Credit card,2,0,No,0
35,87.48,2961.66,Two year,No,Fiber optic,Mailed check,2,0,Yes,0
49,87.75,4028.16,Month-to-month,Yes,DSL,Credit card,3,0,Yes,1
69,57.31,3686.72,Month-to-month,Yes,No,Bank transfer,1,0,No,0
62,114.17,6697.21,Two year,No,DSL,Credit card,2,0,Yes,0
60,36.74,2103.57,Month-to-month,Yes,DSL,Bank transfer,0,0,Yes,0
50,70.04,3201.5,One year,Yes,DSL,Bank transfer,1,0,Yes,0
9,89.09,778.38,Month-to-month,No,Fiber optic,Credit card,0,0,No,1
34,89.71,3014.44,Month-to-month,No,Fiber optic,Mailed check,0,0,Yes,1
35,84.86,2755.65,Month-to-month,Yes,DSL,Electronic check,1,0,Yes,0
1,47.53,43.63,Month-to-month,No,DSL,Mailed check,1,0,No,1
40,35.62,1390.68,One year,Yes,Fiber optic,Electronic check,0,0,Yes,0
64,83.59,4912.97,Two year,No,No,Mailed check,1,0,No,0
22,79.93,1589.87,Month-to-month,No,Fiber optic,Bank transfer,0,0,No,1
60,37.94,2189.72,Two year,No,DSL,Bank transfer,1,0,No,0
64,90.51,5352.26,Month-to-month,No,DSL,Credit card,0,0,No,0
11,65.52,661.03,Month-to-month,No,DSL,Electronic check,0,0,Yes,0
14,86.78,1212.68,Month-to-month,No,DSL,Electronic check,0,0,Yes,0
60,103.74,5783.63,Two year,No,Fiber optic,Credit card,3,0,No,1
30,36.97,1098.39,One year,Yes,Fiber optic,Mailed check,0,0,Yes,0
35,21.91,703.83,One year,No,Fiber optic,Credit card,2,0,Yes,1
37,97.91,3557.09,Two year,No,Fiber optic,Mailed check,1,0,No,1
5,80.97,384.69,One year,No,DSL,Credit card,0,0,Yes,0
26,89.96,2123.45,Two year,Yes,DSL,Electronic check,4,0,Yes,0
62,103.82,6265.37,One year,No,Fiber optic,Electronic check,0,0,No,1
4,100.28,396.79,Two year,No,DSL,Mailed check,1,0,No,0
42,116.09,4467.69,Month-to-month,No,DSL,Electronic check,2,1,No,0
18,73.59,1288.27,Month-to-month,No,Fiber optic,Electronic check,2,1,No,1
40,68.85,2601.17,Month-to-month,Yes,DSL,Electronic check,1,0,No,0
39,60.19,2289.63,Month-to-month,Yes,DSL,Electronic check,2,1,No,0
14,35.37,481.01,One year,Yes,No,Bank transfer,0,0,Yes,0
32,77.26,2231.66,Month-to-month,Yes,No,Credit card,3,1,No,0
51,47.7,2232.91,One year,No,DSL,Credit card,2,0,Yes,0
38,112.13,4035.55,Month-to-month,No,DSL,Bank transfer,2,1,Yes,0
23,78.32,1789.4,Month-to-month,No,Fiber optic,Electronic check,3,0,Yes,1
63,79.28,4666.03,Month-to-month,No,DSL,Credit card,1,0,Yes,0
15,55.49,801.46,Two year,Yes,Fiber optic,Credit card,2,0,Yes,0
25,25.2,567.76,Month-to-month,Yes,DSL,Credit card,0,0,Yes,1
17,23.17,382.51,Month-to-month,Yes,DSL,Mailed check,3,0,Yes,0
66,62.33,3950.49,One year,Yes,Fiber optic,Bank transfer,2,1,Yes,0
53,28.46,1465.45,One year,No,No,Mailed check,2,0,Yes,0
51,80.68,4075.45,Month-to-month,Yes,DSL,Mailed check,0,0,No,1
39,108.1,3856.07,Month-to-month,Yes,DSL,Bank transfer,2,0,No,1
51,108.29,5114.98,Month-to-month,Yes,DSL,Credit card,2,0,No,0
70,85.9,6010.46,Two year,No,DSL,Mailed check,1,1,Yes,0
6,41.12,225.9,Month-to-month,No,No,Credit card,1,1,No,0
67,106.3,6923.13,Month-to-month,No,Fiber optic,Mailed check,1,0,Yes,1
7,108.61,739.37,Month-to-month,No,Fiber optic,Credit card,1,0,Yes,1
51,39.67,1959.03,Month-to-month,No,Fiber optic,Electronic check,0,0,No,1
42,93.74,3632.92,One year,Yes,No,Electronic check,3,0,No,0
64,48.65,2869.22,Month-to-month,No,No,Electronic check,1,0,No,1
15,100.26,1453.72,Month-to-month,No,DSL,Bank transfer,2,0,No,0
29,119.72,3189.36,Month-to-month,No,DSL,Electronic check,1,0,Yes,0
33,23.0,733.31,Month-to-month,No,Fiber optic,Mailed check,3,0,No,1
27,109.74,2812.62,Month-to-month,Yes,Fiber optic,Credit card,5,0,No,1
36,82.26,2779.72,Two year,No,No,Credit card,2,0,No,0
29,117.34,3164.74,One year,Yes,Fiber optic,Credit card,1,0,No,0
38,66.5,2513.75,Two year,No,No,Credit card,1,0,Yes,0
57,104.74,5676.5,Two year,Yes,DSL,Mailed check,1,1,Yes,0
27,26.24,677.4,One year,Yes,No,Credit card,0,0,Yes,0
55,53.53,2929.21,Month-to-month,No,DSL,Mailed check,0,0,Yes,0
33,26.7,850.6,One year,No,No,Mailed check,2,0,Yes,1
68,117.53,7958.36,Two year,Yes,DSL,Credit card,1,1,Yes,0
66,101.7,6112.38,One year,No,Fiber optic,Credit card,2,0,No,0
10,105.25,1036.36,Month-to-month,No,Fiber optic,Credit card,5,0,No,1
5,113.8,531.19,Month-to-month,Yes,Fiber optic,Mailed check,4,0,No,0
38,28.51,1062.85,Two year,No,Fiber optic,Bank transfer,0,0,Yes,0
13,58.56,750.29,One year,No,No,Mailed check,0,0,Yes,0
31,27.1,778.9,Two year,No,Fiber optic,Bank transfer,2,0,No,1
47,41.08,1816.62,Month-to-month,Yes,Fiber optic,Credit card,2,1,Yes,0
52,42.94,2171.7,Month-to-month,Yes,DSL,Mailed check,2,0,No,0
56,66.91,3409.38,Month-to-month,No,No,Credit card,1,0,No,1
15,46.86,685.72,One year,No,Fiber optic,Bank transfer,1,1,Yes,1
29,30.1,795.25,Month-to-month,No,Fiber optic,Bank transfer,2,0,No,0
8,36.75,291.48,Month-to-month,Yes,DSL,Mailed check,1,0,Yes,0
5,34.73,161.08,Two year,No,Fiber optic,Mailed check,4,0,No,0
29,117.31,3257.61,Month-to-month,No,DSL,Mailed check,0,1,Yes,0
47,95.93,4110.66,Two year,Yes,DSL,Mailed check,3,0,Yes,0
68,116.78,7360.94,Month-to-month,No,Fiber optic,Electronic check,6,0,No,1
45,63.97,2707.07,Two year,No,DSL,Electronic check,4,0,No,0
2,47.84,90.77,One year,Yes,DSL,Credit card,2,1,No,0
27,99.83,2425.89,Two year,No,Fiber optic,Bank transfer,2,1,Yes,1
36,52.63,1873.58,Two year,Yes,DSL,Bank transfer,1,0,No,0
36,49.94,1619.44,Month-to-month,No,DSL,Credit card,2,0,No,0
26,43.25,1099.05,Month-to-month,No,DSL,Credit card,2,0,No,0
43,32.97,1342.65,Month-to-month,No,Fiber optic,Credit card,2,0,No,1
27,45.65,1173.87,One year,No,Fiber optic,Electronic check,2,0,No,1
69,55.53,3528.21,Two year,No,Fiber optic,Credit card,2,0,No,0
20,87.4,1679.37,Month-to-month,Yes,DSL,Bank transfer,0,0,Yes,0
11,26.26,275.49,One year,No,DSL,Credit card,1,0,Yes,0
38,41.05,1429.53,Month-to-month,Yes,DSL,Mailed check,0,0,Yes,1
6,100.9,559.28,Two year,Yes,Fiber optic,Bank transfer,1,0,No,0
23,34.69,723.42,Two year,Yes,No,Bank transfer,2,0,No,0
47,54.26,2312.1,Month-to-month,No,DSL,Bank transfer,1,0,No,0
46,106.47,4414.6,Month-to-month,Yes,DSL,Electronic check,1,0,Yes,1
12,35.49,392.68,Month-to-month,Yes,DSL,Electronic check,2,0,Yes,0
13,28.27,355.74,One year,Yes,Fiber optic,Bank transfer,2,0,Yes,0
62,68.45,3953.71,Month-to-month,Yes,Fiber optic,Mailed check,2,1,Yes,1
60,50.24,2816.27,Month-to-month,No,Fiber optic,Bank transfer,0,0,Yes,1
43,76.34,2997.66,Month-to-month,No,No,Electronic check,1,1,No,0
68,100.38,6536.06,Month-to-month,Yes,Fiber optic,Mailed check,2,0,Yes,1
5,33.71,157.46,Month-to-month,No,DSL,Bank transfer,3,0,Yes,1
37,78.07,2795.09,One year,No,DSL,Electronic check,1,0,Yes,1
31,70.55,2130.51,Month-to-month,No,Fiber optic,Mailed check,3,0,No,1
9,34.41,296.83,One year,No,Fiber optic,Credit card,2,0,No,1
51,82.4,3898.18,One year,No,Fiber optic,Credit card,0,0,Yes,0
29,47.36,1305.95,Month-to-month,Yes,Fiber optic,Bank transfer,2,1,No,0
40,68.78,2545.39,Month-to-month,No,Fiber optic,Credit card,1,0,Yes,1
41,28.23,1146.19,One year,No,No,Electronic check,2,0,Yes,0
11,65.96,708.61,Two year,No,Fiber optic,Mailed check,2,0,Yes,0
23,50.65,1105.89,Month-to-month,No,Fiber optic,Bank transfer,0,0,Yes,1
1,102.24,101.89,Month-to-month,Yes,DSL,Mailed check,0,0,No,0
46,25.7,1128.62,Month-to-month,No,Fiber optic,Mailed check,2,0,No,1
21,61.86,1211.83,One year,No,No,Mailed check,2,0,No,0
36,65.84,2155.84,Month-to-month,Yes,Fiber optic,Electronic check,2,0,Yes,1
54,92.5,4767.1,Month-to-month,Yes,Fiber optic,Bank transfer,2,0,Yes,1
57,77.43,4351.9,One year,No,Fiber optic,Credit card,4,0,Yes,1
1,86.72,85.56,One year,No,DSL,Mailed check,1,0,Yes,0
63,97.7,5911.71,Month-to-month,No,Fiber optic,Mailed check,1,1,Yes,1
54,106.22,5387.96,Month-to-month,No,DSL,Mailed check,1,0,Yes,0
55,51.39,2727.61,One year,No,No,Electronic check,3,0,No,0
40,73.8,2881.78,Month-to-month,Yes,No,Credit card,0,0,No,0
15,104.01,1468.35,Month-to-month,Yes,DSL,Mailed check,2,0,Yes,1
21,118.95,2367.12,Two year,Yes,DSL,Electronic check,0,0,Yes,0
47,108.95,4957.1,Month-to-month,Yes,Fiber optic,Electronic check,1,0,Yes,0
53,57.15,2991.59,One year,Yes,DSL,Mailed check,2,0,Yes,0
9,39.52,348.25,Two year,No,DSL,Mailed check,2,0,Yes,0
52,68.94,3234.42,Month-to-month,No,Fiber optic,Electronic check,4,0,Yes,1
57,94.16,4897.16,Month-to-month,Yes,Fiber optic,Electronic check,2,0,No,0
26,69.26,1774.25,One year,Yes,DSL,Mailed check,1,0,No,0
41,68.32,2754.57,Two year,Yes,No,Electronic check,3,0,Yes,0
35,103.82,3411.61,Two year,No,No,Electronic check,2,0,No,1
63,56.14,3389.79,One year,Yes,Fiber optic,Mailed check,4,0,Yes,0
25,105.98,2624.55,Month-to-month,Yes,No,Mailed check,0,0,No,0
38,60.68,2285.45,One year,No,DSL,Bank transfer,1,1,Yes,0
2,52.82,103.35,Month-to-month,No,DSL,Credit card,4,0,Yes,1
7,65.4,421.61,Month-to-month,Yes,DSL,Mailed check,0,1,Yes,0
34,96.24,3183.9,Month-to-month,No,Fiber optic,Mailed check,1,0,Yes,1
17,32.6,504.38,Month-to-month,Yes,No,Mailed check,1,0,Yes,0
43,39.64,1686.44,One year,No,Fiber optic,Credit card,3,0,No,1
59,115.14,6215.25,Month-to-month,No,No,Bank transfer,1,0,No,0
51,37.55,1850.39,Month-to-month,Yes,Fiber optic,Electronic check,1,0,Yes,1
54,76.77,3984.0,Month-to-month,No,Fiber optic,Credit card,2,0,Yes,1
24,77.93,1828.59,Two year,Yes,Fiber optic,Mailed check,3,0,No,0
25,68.96,1646.69,One year,Yes,DSL,Mailed check,0,0,No,0
71,84.47,5433.36,Month-to-month,Yes,DSL,Bank transfer,1,0,No,0
52,42.98,2169.22,Month-to-month,No,Fiber optic,Bank transfer,3,0,Yes,0
70,75.27,4943.89,Month-to-month,Yes,Fiber optic,Bank transfer,0,1,No,0
33,57.22,1759.91,Two year,Yes,Fiber optic,Electronic check,1,0,No,1
49,86.17,4218.81,One year,Yes,Fiber optic,Credit card,1,0,Yes,1
29,34.12,948.95,Month-to-month,Yes,DSL,Credit card,0,1,Yes,0
63,77.09,4716.18,One year,No,Fiber optic,Bank transfer,1,0,No,0
22,38.53,807.51,Month-to-month,Yes,Fiber optic,Electronic check,2,0,No,0
26,47.86,1215.74,Two year,Yes,Fiber optic,Credit card,3,1,Yes,1
28,41.87,1143.29,Month-to-month,No,No,Mailed check,2,0,No,0
49,38.28,1811.41,Month-to-month,No,Fiber optic,Mailed check,3,0,Yes,0
71,102.57,7280.83,Month-to-month,No,Fiber optic,Mailed check,0,0,Yes,0
49,48.57,2251.36,Month-to-month,No,No,Credit card,2,0,Yes,0
20,112.71,2187.97,Two year,Yes,No,Bank transfer,3,0,No,0
63,116.99,7221.32,Month-to-month,No,No,Mailed check,0,0,Yes,1
61,77.13,4411.36,Two year,No,DSL,Bank transfer,3,0,Yes,0
49,34.3,1589.47,One year,Yes,DSL,Electronic check,2,0,Yes,0
71,57.45,4066.37,Month-to-month,No,DSL,Mailed check,2,0,Yes,1
1,99.77,90.12,Month-to-month,Yes,DSL,Electronic check,5,0,No,0
13,56.74,688.59,Month-to-month,No,No,Bank transfer,2,0,Yes,1
51,28.7,1388.5,One year,No,Fiber optic,Credit card,1,0,No,0
56,75.68,3814.89,Month-to-month,No,DSL,Bank transfer,2,0,No,0
62,104.51,6414.26,Month-to-month,No,DSL,Mailed check,6,1,Yes,0
32,99.59,2959.41,Month-to-month,No,DSL,Mailed check,1,0,No,0
30,37.51,1041.77,One year,Yes,Fiber optic,Bank transfer,2,0,Yes,0
29,87.28,2485.64,Month-to-month,No,Fiber optic,Mailed check,0,0,Yes,1
49,42.05,1911.68,Month-to-month,Yes,No,Mailed check,5,0,No,0
45,41.82,1817.47,Month-to-month,Yes,No,Electronic check,3,0,No,0
30,107.41,3164.78,Month-to-month,No,DSL,Credit card,5,1,Yes,1
16,44.97,704.59,Two year,Yes,DSL,Bank transfer,2,0,Yes,0
40,46.32,1812.4,Month-to-month,Yes,DSL,Electronic check,0,1,No,1
19,20.07,346.58,Two year,No,Fiber optic,Mailed check,0,0,No,0
18,107.07,1749.92,One year,No,No,Electronic check,1,1,Yes,1
1,99.26,92.38,One year,Yes,Fiber optic,Credit card,1,0,Yes,0
47,82.73,3513.46,One year,Yes,Fiber optic,Bank transfer,3,1,Yes,0
66,95.03,5958.65,Month-to-month,Yes,Fiber optic,Credit card,1,0,Yes,0
38,35.2,1256.65,Month-to-month,No,DSL,Credit card,2,1,Yes,1
51,65.83,3208.61,One year,Yes,DSL,Electronic check,3,0,Yes,1
63,55.12,3229.06,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,1
4,29.38,111.48,One year,Yes,Fiber optic,Credit card,1,0,No,0
1,68.61,64.05,Month-to-month,Yes,DSL,Mailed check,4,0,Yes,1
8,112.07,824.41,Two year,No,Fiber optic,Bank transfer,2,0,Yes,1
29,24.01,671.88,One year,Yes,No,Mailed check,2,1,Yes,0
55,49.15,2614.97,Month-to-month,No,Fiber optic,Mailed check,2,0,Yes,1
3,40.75,120.16,Month-to-month,Yes,Fiber optic,Bank transfer,3,0,Yes,0
32,43.81,1384.36,One year,No,Fiber optic,Electronic check,1,0,No,0
10,110.84,1075.64,One year,No,Fiber optic,Mailed check,0,0,Yes,1
34,66.81,2200.55,Month-to-month,Yes,Fiber optic,Electronic check,0,0,Yes,0
55,66.63,3318.95,Two year,Yes,No,Bank transfer,4,1,Yes,0
32,96.06,2800.27,Month-to-month,Yes,DSL,Mailed check,2,0,Yes,0
50,35.45,1739.28,Month-to-month,No,Fiber optic,Electronic check,2,0,Yes,1
7,68.73,444.21,Two year,No,DSL,Electronic check,1,0,Yes,0
8,63.0,471.52,Two year,No,DSL,Mailed check,2,0,Yes,0
65,79.69,4737.13,One year,No,Fiber optic,Bank transfer,1,0,No,0
57,119.96,6287.39,Two year,Yes,No,Credit card,1,0,No,0
67,96.94,6349.11,Month-to-month,Yes,Fiber optic,Electronic check,1,0,Yes,1
59,59.79,3267.22,Two year,Yes,DSL,Bank transfer,1,0,No,0
54,102.76,5243.31,Month-to-month,Yes,DSL,Mailed check,0,0,No,0
67,37.07,2272.99,Month-to-month,Yes,Fiber optic,Electronic check,1,0,No,0
51,23.05,1137.69,Month-to-month,No,DSL,Electronic check,1,1,Yes,0
8,40.44,314.73,Month-to-month,No,DSL,Electronic check,2,0,No,0
34,54.04,1720.08,Month-to-month,No,Fiber optic,Bank transfer,1,0,No,1
35,71.06,2433.56,Month-to-month,Yes,DSL,Electronic check,3,0,Yes,0
32,81.51,2410.06,Month-to-month,No,Fiber optic,Electronic check,2,0,Yes,1
46,111.06,4951.36,Month-to-month,No,Fiber optic,Mailed check,3,0,No,0
16,70.99,1105.17,One year,No,DSL,Electronic check,2,0,No,0
68,70.13,4753.89,Month-to-month,Yes,Fiber optic,Bank transfer,4,0,Yes,0
37,25.02,854.67,Month-to-month,Yes,Fiber optic,Mailed check,0,0,No,1
54,23.49,1153.5,One year,Yes,Fiber optic,Credit card,3,0,Yes,0
14,75.12,974.17,Two year,Yes,Fiber optic,Mailed check,4,0,Yes,0
55,63.82,3202.22,One year,No,DSL,Electronic check,2,0,Yes,1
48,103.92,4573.99,Month-to-month,Yes,No,Credit card,5,0,Yes,0
7,36.07,235.68,One year,Yes,Fiber optic,Mailed check,2,0,No,0
7,22.5,148.27,Month-to-month,No,DSL,Electronic check,1,1,Yes,1
33,64.9,2121.08,Month-to-month,No,DSL,Mailed check,2,1,No,1
23,43.75,925.31,Month-to-month,No,DSL,Bank transfer,3,0,Yes,1
19,24.96,472.9,Two year,No,DSL,Electronic check,0,0,Yes,0
19,92.46,1723.39,Month-to-month,Yes,Fiber optic,Bank transfer,1,1,Yes,1
36,31.16,1108.46,Month-to-month,Yes,DSL,Electronic check,1,0,Yes,0
29,80.83,2327.53,Month-to-month,Yes,DSL,Bank transfer,1,0,No,1
60,48.1,2814.79,Two year,No,Fiber optic,Credit card,2,0,Yes,1
2,37.35,73.12,One year,No,DSL,Bank transfer,4,0,No,0
1,57.98,54.72,Month-to-month,Yes,Fiber optic,Mailed check,4,1,Yes,1
47,100.14,4476.17,One year,No,Fiber optic,Electronic check,3,0,Yes,0
69,59.21,4057.91,Month-to-month,Yes,DSL,Mailed check,2,1,Yes,0
20,95.08,1783.37,One year,No,Fiber optic,Bank transfer,6,0,No,0
11,32.55,323.75,Month-to-month,Yes,Fiber optic,Electronic check,4,0,Yes,1
2,97.28,189.94,Two year,Yes,Fiber optic,Bank transfer,0,0,No,0
67,43.69,2802.28,Month-to-month,No,DSL,Credit card,1,1,No,0
12,87.74,1033.39,One year,No,Fiber optic,Credit card,1,0,Yes,1
20,76.58,1390.01,Month-to-month,No,No,Credit card,2,0,Yes,1
5,112.91,543.17,Month-to-month,Yes,Fiber optic,Bank transfer,1,0,Yes,0
37,58.73,2009.54,Month-to-month,Yes,DSL,Bank transfer,0,0,No,0
38,26.62,1001.78,Month-to-month,Yes,Fiber optic,Credit card,0,0,Yes,1
9,21.92,179.72,Month-to-month,No,Fiber optic,Bank transfer,1,0,Yes,0
53,102.69,5357.16,One year,No,Fiber optic,Mailed check,1,1,Yes,0
44,72.47,2898.05,Month-to-month,No,Fiber optic,Bank transfer,0,0,No,1
24,97.52,2112.31,One year,Yes,Fiber optic,Mailed check,1,0,No,0
30,43.44,1203.51,Two year,No,No,Credit card,2,0,No,0
59,54.51,3001.59,One year,No,Fiber optic,Bank transfer,2,0,No,1
14,23.01,310.11,One year,No,Fiber optic,Credit card,2,0,Yes,0
9,116.15,954.58,One year,Yes,DSL,Electronic check,0,1,Yes,0
40,86.79,3276.26,Month-to-month,No,No,Bank transfer,2,0,No,1
66,113.32,6883.98,Two year,No,No,Bank transfer,2,1,No,0
25,46.55,1146.91,Month-to-month,No,DSL,Credit card,2,0,Yes,1
22,81.15,1614.8,One year,No,Fiber optic,Credit card,1,0,Yes,1
4,87.85,328.77,One year,Yes,DSL,Credit card,2,0,No,0
26,51.75,1295.9,Month-to-month,No,Fiber optic,Electronic check,3,0,Yes,1
58,104.81,6026.15,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,1
29,114.72,3282.96,Month-to-month,Yes,DSL,Credit card,2,0,No,0
37,108.49,3972.06,Two year,Yes,No,Bank transfer,0,0,No,0
70,93.91,5957.65,Two year,Yes,DSL,Bank transfer,3,0,Yes,0
18,47.75,845.83,Month-to-month,No,Fiber optic,Credit card,1,1,Yes,0
42,48.16,1978.2,One year,Yes,Fiber optic,Mailed check,4,0,Yes,0
41,116.34,4723.4,Two year,No,DSL,Electronic check,2,0,No,0
38,21.03,744.13,Month-to-month,Yes,DSL,Electronic check,2,0,No,1
34,91.6,3086.92,Month-to-month,No,DSL,Mailed check,1,0,No,1
17,90.62,1448.51,One year,Yes,Fiber optic,Credit card,1,0,Yes,0
37,82.27,2932.61,Two year,Yes,Fiber optic,Bank transfer,2,1,Yes,0
25,119.01,2803.93,Two year,No,DSL,Bank transfer,3,0,No,1
27,51.19,1303.02,Month-to-month,No,DSL,Electronic check,1,0,Yes,1
57,54.0,2938.45,Month-to-month,Yes,DSL,Mailed check,3,0,No,0
31,27.89,808.9,Month-to-month,Yes,Fiber optic,Bank transfer,2,0,No,1
6,64.28,377.69,Month-to-month,Yes,Fiber optic,Electronic check,2,0,Yes,1
40,46.1,1776.44,Month-to-month,No,DSL,Bank transfer,1,0,No,1
12,54.34,631.85,One year,No,Fiber optic,Bank transfer,2,1,Yes,0
53,103.46,5061.73,Month-to-month,No,DSL,Bank transfer,1,0,No,1
71,113.55,8037.52,Two year,No,No,Electronic check,2,0,Yes,1
10,38.57,372.59,Month-to-month,No,No,Mailed check,3,0,No,0
45,57.25,2369.43,One year,Yes,Fiber optic,Credit card,2,0,No,0
17,112.86,1870.75,Month-to-month,No,No,Mailed check,1,0,Yes,0
26,26.18,624.44,Month-to-month,No,No,Bank transfer,1,0,Yes,0
62,29.24,1643.08,Month-to-month,Yes,No,Mailed check,0,0,Yes,0
46,36.28,1590.03,Two year,Yes,Fiber optic,Bank transfer,0,0,Yes,0
64,79.52,4862.06,Two year,Yes,DSL,Electronic check,2,0,No,0
2,35.05,64.41,Month-to-month,Yes,DSL,Electronic check,1,0,Yes,0
54,116.81,5896.71,Month-to-month,No,DSL,Electronic check,2,0,Yes,1
65,64.67,4180.75,Two year,No,Fiber optic,Bank transfer,2,0,Yes,1
51,70.15,3321.85,Month-to-month,No,DSL,Mailed check,0,0,Yes,0
53,44.67,2167.59,Month-to-month,No,DSL,Credit card,2,1,No,1
36,67.1,2413.8,One year,No,Fiber optic,Credit card,2,0,Yes,0
26,86.19,2084.59,Two year,No,DSL,Electronic check,1,1,No,0
29,95.12,2670.28,Month-to-month,Yes,Fiber optic,Credit card,1,0,No,0
21,95.39,1849.26,Month-to-month,Yes,No,Bank transfer,1,0,Yes,1
11,77.79,817.19,Two year,No,Fiber optic,Mailed check,3,0,No,1
40,110.44,4146.48,Month-to-month,Yes,Fiber optic,Credit card,1,0,Yes,1
11,101.74,1114.84,Month-to-month,Yes,Fiber optic,Credit card,2,0,Yes,1
36,95.7,3249.79,One year,No,Fiber optic,Mailed check,0,0,Yes,1
59,25.56,1445.33,Two year,No,DSL,Credit card,0,0,Yes,0
39,20.69,802.45,Month-to-month,Yes,No,Mailed check,0,0,No,0
54,41.24,2224.56,Two year,No,DSL,Bank transfer,3,0,Yes,1
55,86.35,4322.61,One year,No,DSL,Bank transfer,0,0,Yes,0
24,61.12,1442.58,Month-to-month,Yes,Fiber optic,Bank transfer,0,1,Yes,1
22,60.24,1243.39,Two year,Yes,DSL,Electronic check,2,1,Yes,0
69,108.46,7180.52,Month-to-month,No,Fiber optic,Bank transfer,0,0,No,1
56,109.56,5751.93,Month-to-month,Yes,DSL,Credit card,0,0,Yes,0
33,110.92,3441.15,One year,Yes,DSL,Electronic check,1,0,No,0
36,51.39,1694.43,Month-to-month,No,DSL,Electronic check,1,1,No,1
20,89.11,1706.06,Month-to-month,No,DSL,Electronic check,0,0,Yes,1
62,47.16,2791.38,Month-to-month,Yes,Fiber optic,Bank transfer,0,0,No,1
26,39.06,933.23,Month-to-month,Yes,No,Electronic check,3,0,Yes,0
66,38.46,2422.03,Two year,Yes,Fiber optic,Bank transfer,1,1,Yes,0
40,54.21,2162.57,One year,No,No,Bank transfer,1,0,Yes,0
17,63.0,1040.41,Two year,Yes,DSL,Electronic check,0,0,Yes,0
1,103.09,97.74,Month-to-month,No,DSL,Electronic check,3,0,No,1
